Otis,Birdsong,14.3
Gale,Bishop,0
Goga,Bitadze,0.0
Bismack,Biyombo,-1.9
Nemanja,Bjelica,4.2
Uwe,Blab,-1.7
Charlie,Black,0
Norman,Black,-0.1
Tarik,Black,-0.6
Tom,Black,0
Rolando,Blackman,19.8
Alex,Blackwell,-0.1
Cory,Blackwell,-0.8
James,Blackwell,0.1
Nate,Blackwell,-0.1
DeJuan,Blair,1.4
Steve,Blake,4.2
Antonio,Blakeney,-0.9
Will,Blalock,-0.2
George,Blaney,0
Lance,Blanks,-0.3
Ricky,Blanton,0.0
Andray,Blatche,3.8
Mookie,Blaylock,39.2
Eric,Bledsoe,18.5
Leon,Blevins,0
John,Block,0.8
Mike,Bloom,0
Jaron,Blossomgame,-0.2
Corie,Blount,-1.1
Mark,Blount,-2.5
Vander,Blue,-0.3
Ray,Blume,-0.3
Nelson,Bobb,0
Tony,Bobbitt,0.0
Bucky,Bockhorn,0
Tom,Boerwinkle,6.2
Keith,Bogans,1.9
Bogdan,Bogdanović,1.9
Bojan,Bogdanović,2.9
Muggsy,Bogues,17.9
Andrew,Bogut,16.0
Etdrick,Bohannon,-0.1
Manute,Bol,4.5
Jonah,Bolden,0.1
Marques,Bolden,0.0
Bill,Bolger,0
Joel,Bolomboy,0.0
Doug,Bolstorff,0
George,Bon Salle,0
Phil,Bond,0.0
Walter,Bond,-1.2
Jordan,Bone,-0.1
Dexter,Boney,0.0
Isaac,Bonga,-0.2
Ron,Bonham,0
Anthony,Bonner,0.1
Matt,Bonner,10.1
Butch,Booker,0
Devin,Booker,4.8
Melvin,Booker,-0.4
Trevor,Booker,4.2
Josh,Boone,0.0
Ron,Boone,6.4
Calvin,Booth,0.3
Keith,Booth,-0.5
Bob,Boozer,0
Carlos,Boozer,23.1
Curtis,Borchardt,-0.5
Jake,Bornheimer,0
Lazaro,Borrell,0.0
Ike,Borsavage,0
Vince,Boryla,0
Chris,Bosh,31.1
Jim,Bostic,0.0
Lawrence,Boston,-0.1
Tom,Boswell,1.6
Chris,Boucher,0.8
Ruben,Boumtje-Boumtje,-0.2
Don,Boven,0
Cal,Bowdler,-0.4
Brian,Bowen,-0.1
Bruce,Bowen,7.2
Ryan,Bowen,2.0
Tommie,Bowens,0
Anthony,Bowie,1.4
Sam,Bowie,6.2
Orbie,Bowling,0
Ira,Bowman,0.1
Ky,Bowman,-0.6
Nate,Bowman,0
Donnie,Boyce,-0.1
Dennis,Boyd,-0.1
Freddie,Boyd,-1.8
Ken,Boyd,0.1
Earl,Boykins,6.5
Harry,Boykoff,0
Winford,Boynes,-1.3
Cedric,Bozeman,-0.3
Steve,Bracey,-0.2
Craig,Brackins,-0.2
Gary,Bradds,0
Alex,Bradley,0.0
Alonzo,Bradley,-0.8
Avery,Bradley,-0.7
Bill,Bradley,0
Bill,Bradley,-0.5
Charles,Bradley,-0.4
Dudley,Bradley,7.0
Jim,Bradley,0.6
Joe,Bradley,0
Michael,Bradley,-1.0
Shawn,Bradley,8.9
Tony,Bradley,0.4
Mark,Bradtke,-0.2
Marques,Bragg,-0.3
Torraye,Braggs,-0.1
A.J.,Bramlett,-0.2
Adrian,Branch,0.0
Elton,Brand,37.3
Terrell,Brandon,30.3
Bob,Brannum,0
Brad,Branson,0.0
Jesse,Branson,0
Jarrell,Brantley,0.0
Jim,Brasco,0
Mike,Bratz,0.6
Carl,Braun,0
Ignas,Brazdeikis,-0.1
Tim,Breaux,-0.9
J.R.,Bremer,0.2
Pete,Brennan,0
Tom,Brennan,0
Randy,Breuer,2.3
Corey,Brewer,2.0
Jamison,Brewer,0.0
Jim,Brewer,8.6
Ron,Brewer,2.4
Ronnie,Brewer,10.6
Primož,Brezec,-1.7
Frankie,Brian,0
Frank,Brickowski,3.7
Junior,Bridgeman,8.3
Bill,Bridges,0.0
Mikal,Bridges,1.5
Miles,Bridges,0.3
Al,Brightman,0
Aud,Brindley,0
Isaiah,Briscoe,-0.4
John,Brisker,0.5
Oshae,Brissett,-0.1
Allan,Bristow,6.5
Tyrone,Britt,0
Wayman,Britt,0.0
Mike,Brittain,-0.4
Dave,Britton,0.0
Jon,Brockman,-0.8
Ryan,Broekhoff,0.2
Jim,Brogan,0.3
Malcolm,Brogdon,4.4
Gary,Brokaw,0.1
Price,Brookfield,0
Clarence,Brookins,0
Aaron,Brooks,2.7
Dillon,Brooks,-2.6
Kevin,Brooks,-1.0
MarShon,Brooks,0.4
Michael,Brooks,4.6
Scott,Brooks,6.8
Andre,Brown,-0.5
Anthony,Brown,-0.6
Bob,Brown,0
Bobby,Brown,-1.3
Bruce,Brown,-0.2
Charlie,Brown,0.0
Chucky,Brown,-2.0
Damone,Brown,-0.6
Darrell,Brown,0
Dee,Brown,11.6
Dee,Brown,-0.2
Derrick,Brown,0.4
Devin,Brown,0.6
Ernest,Brown,-0.1
Fred,Brown,22.6
George,Brown,0
Gerald,Brown,-0.3
Harold,Brown,0
Jabari,Brown,-0.3
Jaylen,Brown,1.4
John,Brown,-0.4
Kedrick,Brown,0.4
Kwame,Brown,-1.3
Larry,Brown,0
Leon,Brown,0
Lewis,Brown,0.0
Lorenzo,Brown,-0.5
Marcus,Brown,0.0
Markel,Brown,-0.4
Mike,Brown,-4.4
Moses,Brown,-0.1
Myron,Brown,0.0
P.J.,Brown,17.4
Randy,Brown,0.2
Raymond,Brown,-0.2
Rickey,Brown,-2.8
Roger,Brown,2.5
Roger,Brown,-0.3
Shannon,Brown,1.0
Stan,Brown,0
Sterling,Brown,-0.1
Tierre,Brown,-0.8
Tony,Brown,-1.2
Troy,Brown,0.1
Jim,Browne,0
Stanley,Brundy,0.0
Brian,Brunkhorst,0
George,Bruns,0
Jalen,Brunson,0.5
Rick,Brunson,0.3
Nicolás,Brussino,0.0
Em,Bryant,0
Joe,Bryant,-0.7
Kobe,Bryant,80.1
Mark,Bryant,-4.0
Thomas,Bryant,2.1
Wallace,Bryant,-0.2
Torgeir,Bryn,0.0
George,Bucci,-0.1
Joe,Buckhalter,0
Steve,Bucknall,-0.2
Cleveland,Buckner,0
Greg,Buckner,2.9
Quinn,Buckner,7.7
Dave,Budd,0
Chase,Budinger,2.9
Walt,Budko,0
Jud,Buechler,4.0
Rodney,Buford,-1.9
Matt,Bullard,4.0
Reggie,Bullock,1.8
Larry,Bunce,0
Greg,Bunch,0.0
Dick,Bunt,0
Bill,Buntin,0
Bill,Bunting,0
Ticky,Burden,0.4
Pat,Burke,-1.4
Trey,Burke,1.9
Roger,Burkman,0.1
Alec,Burks,2.2
Antonio,Burks,-0.6
Kevin,Burleson,-0.4
Tom,Burleson,5.1
Jack,Burmaster,0
David,Burns,-0.1
Evers,Burns,-0.1
Jim,Burns,0
Scott,Burrell,5.2
Art,Burris,0
Junior,Burrough,-0.7
Bob,Burrow,0
Deonte,Burton,-0.4
Ed,Burton,0
Willie,Burton,-0.9
Steve,Burtt,-0.9
Don,Buse,23.0
David,Bustion,0
Donnie,Butcher,0
Al,Butler,0
Caron,Butler,12.6
Greg,Butler,-0.6
Jackie,Butler,-0.3
Jimmy,Butler,29.7
Mike,Butler,0
Mitchell,Butler,-1.5
Rasual,Butler,2.6
Dwight,Buycks,-0.2
Derrick,Byars,0.0
Andrew,Bynum,9.1
Will,Bynum,-0.1
Walter,Byrd,0
Marty,Byrnes,-0.5
Tommy,Byrnes,0
Michael,Bytzura,0
Žarko,Čabarkapa,-0.7
Barney,Cable,0
Bruno,Caboclo,-0.1
Jason,Caffey,-3.6
Michael,Cage,13.7
Gerry,Calabrese,0
Nick,Calathes,0.8
José,Calderón,17.7
Adrian,Caldwell,-1.3
Jim,Caldwell,0
Joe,Caldwell,2.6
Kentavious,Caldwell-Pope,5.2
Bill,Calhoun,0
Corky,Calhoun,0.6
Demetrius,Calip,-0.1
Tom,Callahan,0
Rick,Calloway,-0.8
Ernie,Calverley,0
Mack,Calvin,5.4
Dexter,Cambridge,-0.5
Marcus,Camby,31.3
Elden,Campbell,9.5
Tony,Campbell,2.2
Isaiah,Canaan,-0.5
Vlatko,Čančar,0.0
Larry,Cannon,-0.2
Clint,Capela,8.5
Derrick,Caracter,-0.3
Frank,Card,0
Brian,Cardinal,3.2
Howie,Carl,0
Chet,Carlisle,0
Geno,Carlisle,0.0
Rick,Carlisle,-0.9
Don,Carlos,0
Al,Carlson,-0.2
Don,Carlson,0
Bob,Carney,0
Rodney,Carney,0.5
Bob,Carpenter,0
Antoine,Carr,4.1
Austin,Carr,5.2
Chris,Carr,-1.1
Cory,Carr,-1.0
Kenny,Carr,2.3
M.L.,Carr,10.1
Darel,Carrier,0
Bob,Carrington,-0.6
DeMarre,Carroll,6.7
Joe Barry,Carroll,8.2
