268.1 Kevin Garnett, Kevin Durant, Kevin Johnson, Kevin McHale, Kevin Love
32.1 David Lee, Courtney Lee, Ron Lee, Lee Davis, Lee Winfield
32.1 Matt Barnes, Matt Bonner, Matt Harpring, Matt Bullard, Matt Maloney
32.1 Cedric Maxwell, Cedric Ceballos, Cedric Ball, Cedric Henderson, Cedric Hunter
31.1 Anthony Mason, Mason Plumlee, Roger Mason, Frank Mason, Desmond Mason
30.1 Andrew Bogut, Andrew Bynum, Andrew Toney, Andrew Lang, Andrew Wiggins
30.1 Lou Williams, Lou Hudson, Lou Spicer, Lou Tsioropoulos, Lou Roe
29.1 Jerry Stackhouse, Jerry Reynolds, Jerry Sloan, Jerry West, Jerry Lucas
29.1 Phil Chenier, Phil Smith, Phil Ford, Phil Jackson, Phil Hubbard
29.1 Darrell Armstrong, B.J. Armstrong, Bob Armstrong, Curly Armstrong, Tate Armstrong
29.1 Doug Christie, Doug Collins, Doug Bolstorff, Doug Holcomb, Doug Kistler
29.1 Glen Rice, Glen Gondrezick, Glen Combs, Glen Selbo, Glen Rice
28.1 Walter Davis, Walter Berry, Walter Herrmann, Walter McCarty, Walter Simon
28.1 Kevin Martin, Kenyon Martin, Caleb Martin, Martin Müürsepp, Cody Martin
28.1 Johnny Moore, Johnny Davis, Johnny Dawkins, Johnny Newman, Johnny High
28.1 Walt Frazier, Walt Williams, Walt Bellamy, Walt Budko, Walt Davis
27.1 John Drew, Larry Drew, Drew Gooden, Drew Eubanks, Drew Gordon
27.1 Thaddeus Young, Danny Young, Trae Young, Michael Young, Korleone Young
27.1 Antonio McDyess, Antonio Daniels, Antonio Davis, Antonio Anderson, Antonio Burks
27.1 Calvin Murphy, Troy Murphy, Tod Murphy, Dick Murphy, John Murphy
26.1 Elvin Hayes, Chuck Hayes, Jaxson Hayes, Jim Hayes, Nigel Hayes
26.1 Jerome Kersey, Jerome Williams, Jerome Jordan, Jerome Beasley, Jerome Harmon
26.1 Brandon Roy, Roy Hibbert, Roy Hinson, Roy Tarpley, Roy Ebron
26.1 Randy Smith, Randy Foye, Randy Denton, Randy Breuer, Randy Wittman
26.1 Bernard King, Bernard James, Bernard Robinson, Bernard Toone, Bernard Thompson
25.1 Trevor Ariza, Trevor Booker, Trevor Ruffin, Trevor Winter, Trevor Wilson
24.1 Dorell Wright, Brandan Wright, Delon Wright, Larry Wright, Julian Wright
24.1 Charlie Ward, Charlie Villanueva, Charlie Scott, Charlie Criss, Charlie Bell
24.1 Ed Pinckney, Ed Davis, Ed Ratleff, Ed Nealy, Ed Sherod
23.1 Ronnie Brewer, Jim Brewer, Ron Brewer, Corey Brewer, Jamison Brewer
22.1 Byron Scott, Byron Beck, Byron Irvin, Byron Dinkins, Byron Houston
22.1 Zach Randolph, Zach LaVine, Zach Lofton, Zach Norvell, Zach Collins
22.1 Aaron McKie, Aaron Gordon, Aaron Brooks, Aaron Williams, Aaron Holiday
22.1 J.J. Redick, J.J. Barea, J.J. Hickson, J.J. Anderson, J.J. O'Brien
21.1 Ben Simmons, Lionel Simmons, Bobby Simmons, Connie Simmons, Grant Simmons
21.1 Earl Monroe, Earl Boykins, Earl Watson, Earl Tatum, Earl Williams
21.1 Matt Barnes, Marvin Barnes, Harrison Barnes, Harry Barnes, Jim Barnes
21.1 Isaiah Thomas, Isaiah Rider, Isaiah Hartenstein, Isaiah Roby, Isaiah Wilson
20.1 Devin Harris, Devin Booker, Devin Brown, Devin Robinson, Devin Gray
20.1 M.L. Carr, Austin Carr, Antoine Carr, Kenny Carr, Cory Carr
20.1 Chris Ford, T.J. Ford, Phil Ford, Don Ford, Bob Ford
20.1 Derrick Coleman, E.C. Coleman, Jack Coleman, Norris Coleman, Ben Coleman
19.1 Bo Outlaw, Bo Lamar, Bo Erias, Bo Ellis, Bo Kimble
19.1 Glenn Robinson, Mike Glenn, Glenn Robinson, Glenn Hagan, Glenn Mosley
19.1 Craig Ehlo, Craig Hodges, Craig Smith, Craig Dill, Craig Dykema
19.1 Donyell Marshall, Tom Marshall, Marshall Hawkins, Marshall Plumlee, Rawle Marshall
19.1 Willie Anderson, Willie Cauley-Stein, Willie Wise, Willie Norwood, Willie Reed
19.1 Jamal Crawford, Jordan Crawford, Freddie Crawford, Joe Crawford, Chris Crawford
18.1 Keith Van Horn, Keith Askins, Keith Jennings, Keith Erickson, Keith Bogans
18.1 Ruben Patterson, Patrick Patterson, Steve Patterson, Andrae Patterson, George Patterson
18.1 Kelly Tripucka, Kelly Olynyk, Kelly Oubre, Arvesta Kelly, Jerry Kelly
18.1 Johnny Moore, Otto Moore, E'Twaun Moore, Ben Moore, Jackie Moore
18.1 Zach Randolph, Anthony Randolph, Randolph Mahaffey, Shavlik Randolph, Randolph Childress
18.1 Jon Barry, Jon Koncak, Jon Leuer, Jon McGlocklin, Jon Brockman
18.1 Mickey Johnson, Mickey Davis, Mickey Rottner, Jordan Mickey, Mickey Dillard
18.1 Tom Owens, Billy Owens, Chris Owens, Eddie Owens, Jim Owens
17.1 Mario Elie, Mario Chalmers, Mario Bennett, Mario West, Mario Kasun
17.1 Brian Taylor, Fatty Taylor, Anthony Taylor, Fred Taylor, Jay Taylor
17.1 Tyreke Evans, Maurice Evans, Jeremy Evans, Brian Evans, Billy Evans
17.1 Terry Tyler, Tyler Johnson, Tyler Cook, Tyler Davis, Tyler Hansbrough
16.1 Trent Tucker, P.J. Tucker, Al Tucker, Jim Tucker, Rayjon Tucker
16.1 Michael Cooper, Chuck Cooper, Joe Cooper, Duane Cooper, Wayne Cooper
16.1 Donovan Mitchell, Mike Mitchell, Mitchell Robinson, Mitchell Wiggins, Leland Mitchell
